S/N,HOSTEL NAME,ROOM TYPE,PRICE (GHS),DISTANCE FROM CAMPUS(min walk to Campus),WATER,WIFI,SECURITY,TV ROOM,STUDY ROOM
1,HAPPY FAMILY,4 in 1,2600,9,Yes,Yes,No,Yes,Yes
1,HAPPY FAMILY,3 in 1,5900,9,Yes,Yes,No,Yes,Yes
1,HAPPY FAMILY,2 in 1,7400,9,Yes,Yes,No,Yes,Yes
2,ABC HOSTEL,4 in 1,3800,11,No,No,No,No,No
2,ABC HOSTEL,2 in 1,6200,11,No,No,No,No,No
3,NANA ADOMA MAIN HOSTEL,4 in 1,2800,3,Yes,No,No,Yes,Yes
3,NANA ADOMA MAIN HOSTEL,3 in 1,6800,3,Yes,No,No,Yes,Yes
3,NANA ADOMA MAIN HOSTEL,2 in 1,8300,3,Yes,No,No,Yes,Yes
4,FORDJOUR MEMORIAL,4 in 1,4000,14,Yes,No,No,No,No
4,FORDJOUR MEMORIAL,3 in 1,5500,14,Yes,No,No,No,No
4,FORDJOUR MEMORIAL,2 in 1,6900,14,Yes,No,No,No,No
4,FORDJOUR MEMORIAL,1 in 1,8200,14,Yes,No,No,No,No
5,WHITE HOUSE HOSTEL,4 in 1,5200,5,Yes,Yes,No,No,Yes
5,WHITE HOUSE HOSTEL,3 in 1,7200,5,Yes,Yes,No,No,Yes
5,WHITE HOUSE HOSTEL,2 in 1,8700,5,Yes,Yes,No,No,Yes
5,WHITE HOUSE HOSTEL,1 in 1,9400,5,Yes,Yes,No,No,Yes
6,AMANDAH HOSTEL,4 in 1,5800,6,Yes,Yes,Yes,No,Yes
6,AMANDAH HOSTEL,3 in 1,7300,6,Yes,Yes,Yes,No,Yes
7,SHALOM KIBUTZ HOSTEL,3 in 1,3500,6,No,No,Yes,No,No
7,SHALOM KIBUTZ HOSTEL,2 in 1,5400,6,No,No,Yes,No,No
8,P3 HOSTEL,4 in 1,6200,8,Yes,No,Yes,No,Yes
8,P3 HOSTEL,3 in 1,7100,8,Yes,No,Yes,No,Yes
9,ADOM BI,3 in 1,4600,8,Yes,Yes,No,Yes,No
9,ADOM BI,2 in 1,6500,8,Yes,Yes,No,Yes,No
9,ADOM BI,1 in 1,7800,8,Yes,Yes,No,Yes,No
10,UNIQUE HOSTEL,4 in 1,4400,10,Yes,No,Yes,No,Yes
10,UNIQUE HOSTEL,3 in 1,6700,10,Yes,No,Yes,No,Yes
10,UNIQUE HOSTEL,2 in 1,7200,10,Yes,No,Yes,No,Yes
11,FRED MARK,4 in 1,3800,11,Yes,No,Yes,Yes,Yes
11,FRED MARK,3 in 1,6100,11,Yes,No,Yes,Yes,Yes
11,FRED MARK,2 in 1,7500,11,Yes,No,Yes,Yes,Yes
11,FRED MARK,1 in 1,8900,11,Yes,No,Yes,Yes,Yes
12,PENIEL,4 in 1,4000,10,Yes,No,Yes,Yes,Yes
12,PENIEL,3 in 1,6600,10,Yes,No,Yes,Yes,Yes
12,PENIEL,2 in 1,8100,10,Yes,No,Yes,Yes,Yes
13,FRANCO MAIN,3 in 1,8100,8,No,Yes,Yes,Yes,No
13,FRANCO MAIN,2 in 1,8300,8,No,Yes,Yes,Yes,No
14,FRANCO ANNEX,4 in 1,3700,10,Yes,Yes,No,Yes,Yes
14,FRANCO ANNEX,3 in 1,5800,10,Yes,Yes,No,Yes,Yes
14,FRANCO ANNEX,2 in 1,7900,10,Yes,Yes,No,Yes,Yes
14,FRANCO ANNEX,1 in 1,9300,10,Yes,Yes,No,Yes,Yes
15,NO WEAPON ANNEX,4 in 1,4000,9,Yes,Yes,No,Yes,No
15,NO WEAPON ANNEX,3 in 1,6200,9,Yes,Yes,No,Yes,No
15,NO WEAPON ANNEX,2 in 1,7400,9,Yes,Yes,No,Yes,No
15,NO WEAPON ANNEX,1 in 1,9100,9,Yes,Yes,No,Yes,No
16,EBENEZER,4 in 1,4200,9,No,Yes,Yes,Yes,No
16,EBENEZER,2 in 1,7200,9,No,Yes,Yes,Yes,No
17,JALEX,3 in 1,7400,8,No,No,Yes,Yes,Yes
17,JALEX,2 in 1,8500,8,No,No,Yes,Yes,Yes
18,PROVIDENCE,4 in 1,5000,13,No,Yes,Yes,No,No
18,PROVIDENCE,3 in 1,5800,13,No,Yes,Yes,No,No
18,PROVIDENCE,2 in 1,7000,13,No,Yes,Yes,No,No
18,PROVIDENCE,1 in 1,7600,13,No,Yes,Yes,No,No
19,CANAM HALL,3 in 1,8200,11,Yes,No,Yes,Yes,Yes
19,CANAM HALL,2 in 1,8600,11,Yes,No,Yes,Yes,Yes
20,CANAM PREMIUM,4 in 1,5200,12,Yes,Yes,Yes,Yes,Yes
20,CANAM PREMIUM,3 in 1,8000,12,Yes,Yes,Yes,Yes,Yes
20,CANAM PREMIUM,2 in 1,8400,12,Yes,Yes,Yes,Yes,Yes
21,OBRONII NANA,4 in 1,5000,14,Yes,Yes,Yes,No,Yes
21,OBRONII NANA,2 in 1,7500,14,Yes,Yes,Yes,No,Yes
22,LONG ISLAND,4 in 1,6400,11,No,Yes,Yes,Yes,Yes
22,LONG ISLAND,3 in 1,8400,11,No,Yes,Yes,Yes,Yes
23,ORAZIN HOSTEL,4 in 1,7200,5,Yes,Yes,No,Yes,Yes
23,ORAZIN HOSTEL,2 in 1,9200,5,Yes,Yes,No,Yes,Yes
24,MASS HOSTEL,4 in 1,3300,13,Yes,No,No,No,Yes
24,MASS HOSTEL,3 in 1,5800,13,Yes,No,No,No,Yes
24,MASS HOSTEL,2 in 1,6800,13,Yes,No,No,No,Yes
24,MASS HOSTEL,1 in 1,7600,13,Yes,No,No,No,Yes
25,FRONTLINE COURT,3 in 1,4300,9,No,No,No,No,No
25,FRONTLINE COURT,2 in 1,6200,9,No,No,No,No,No
26,ANAROSA,4 in 1,5600,10,No,Yes,Yes,Yes,Yes
26,ANAROSA,3 in 1,7100,10,No,Yes,Yes,Yes,Yes
26,ANAROSA,2 in 1,7800,10,No,Yes,Yes,Yes,Yes
26,ANAROSA,1 in 1,9000,10,No,Yes,Yes,Yes,Yes
27,DEVALYPA HOSTEL,2 in 1,5400,11,No,Yes,Yes,No,No
27,DEVALYPA HOSTEL,1 in 1,6800,11,No,Yes,Yes,No,No
28,BESCO,3 in 1,6000,11,Yes,Yes,No,No,No
28,BESCO,2 in 1,8200,11,Yes,Yes,No,No,No
28,BESCO,1 in 1,8500,11,Yes,Yes,No,No,No
29,RICHCO,3 in 1,7500,15,Yes,Yes,No,No,No
29,RICHCO,2 in 1,8500,15,Yes,Yes,No,No,No
30,FLINT HOSTEL,4 in 1,5800,12,Yes,Yes,No,No,Yes
30,FLINT HOSTEL,3 in 1,7200,12,Yes,Yes,No,No,Yes
31,BOBISCH HOSTEL,3 in 1,4800,14,No,Yes,Yes,No,No
31,BOBISCH HOSTEL,2 in 1,7400,14,No,Yes,Yes,No,No
31,BOBISCH HOSTEL,1 in 1,7800,14,No,Yes,Yes,No,No
32,PREMIER TOWER PALACE ( PTP ),4 in 1,4400,55,Yes,No,Yes,Yes,No
32,PREMIER TOWER PALACE ( PTP ),3 in 1,5300,55,Yes,No,Yes,Yes,No
32,PREMIER TOWER PALACE ( PTP ),2 in 1,5400,55,Yes,No,Yes,Yes,No
32,PREMIER TOWER PALACE ( PTP ),1 in 1,8600,55,Yes,No,Yes,Yes,No
33,HALLOWED,4 in 1,3800,13,No,Yes,Yes,No,No
33,HALLOWED,3 in 1,8200,13,No,Yes,Yes,No,No
34,FRANCO HOSTEL NEW,4 in 1,7200,15,Yes,Yes,Yes,Yes,No
34,FRANCO HOSTEL NEW,3 in 1,8400,15,Yes,Yes,Yes,Yes,No
35,SOMPA,2 in 1,6500,14,Yes,No,Yes,Yes,No
35,SOMPA,1 in 1,8200,14,Yes,No,Yes,Yes,No
36,CELIA ROYAL ANNEX,4 in 1,4600,20,No,No,Yes,No,No
36,CELIA ROYAL ANNEX,3 in 1,6400,20,No,No,Yes,No,No
36,CELIA ROYAL ANNEX,2 in 1,7900,20,No,No,Yes,No,No
36,CELIA ROYAL ANNEX,1 in 1,9200,20,No,No,Yes,No,No
37,CELIA ROYAL MAIN,4 in 1,4400,21,Yes,Yes,No,Yes,Yes
37,CELIA ROYAL MAIN,3 in 1,5400,21,Yes,Yes,No,Yes,Yes
37,CELIA ROYAL MAIN,2 in 1,7100,21,Yes,Yes,No,Yes,Yes
37,CELIA ROYAL MAIN,1 in 1,7800,21,Yes,Yes,No,Yes,Yes
38,THY WILL BE DONE,2 in 1,3800,14,Yes,Yes,Yes,No,Yes
38,THY WILL BE DONE,1 in 1,6800,14,Yes,Yes,Yes,No,Yes
39,ORANGE HOSTEL,3 in 1,4800,75,No,Yes,No,No,No
39,ORANGE HOSTEL,2 in 1,7600,75,No,Yes,No,No,No
39,ORANGE HOSTEL,1 in 1,8600,75,No,Yes,No,No,No
40,CEPOS HOSTEL,3 in 1,7600,75,Yes,Yes,Yes,No,Yes
40,CEPOS HOSTEL,2 in 1,8800,75,Yes,Yes,Yes,No,Yes
41,PRESTIGE HOSTEL,4 in 1,5000,45,Yes,No,No,No,No
41,PRESTIGE HOSTEL,2 in 1,7300,45,Yes,No,No,No,No
42,THE BEST HOSTEL,3 in 1,3400,30,Yes,No,No,Yes,No
42,THE BEST HOSTEL,2 in 1,7800,30,Yes,No,No,Yes,No
42,THE BEST HOSTEL,1 in 1,8000,30,Yes,No,No,Yes,No
43,SUNSHINE HOSTEL,4 in 1,3200,40,Yes,Yes,No,No,Yes
43,SUNSHINE HOSTEL,3 in 1,4800,40,Yes,Yes,No,No,Yes
43,SUNSHINE HOSTEL,2 in 1,7200,40,Yes,Yes,No,No,Yes
43,SUNSHINE HOSTEL,1 in 1,8000,40,Yes,Yes,No,No,Yes
44,KWAKYEWAA,3 in 1,4000,50,Yes,No,No,No,No
44,KWAKYEWAA,2 in 1,6200,50,Yes,No,No,No,No
45,NO WEAPON (MAIN),4 in 1,4200,50,Yes,Yes,Yes,Yes,Yes
45,NO WEAPON (MAIN),2 in 1,8400,50,Yes,Yes,Yes,Yes,Yes
46,EUNIVIC,4 in 1,4000,45,No,No,No,Yes,No
46,EUNIVIC,3 in 1,7700,45,No,No,No,Yes,No
46,EUNIVIC,2 in 1,8200,45,No,No,No,Yes,No
